bird name,total missed,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Warbling Vireo,1496,1,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,4,0,3,0,0,0,2,4,2,2,1,0,1,1,5,1,1,5,6,5,0,1,1,0,0,0,13,2,3,3,3,2,1,2,1,4,4,0,2,1,0,2,2,4,3,5,4,1,7,0,0,3,2,2,0,3,2,0,2,0,2,0,1,0,1,0,0,1,1,1,0,1,3,2,2,0,0,1,1,1,1,2,1,2,2,0,0,1,2,0,4,2
Yellow Rumped Warbler,1491,1,1,0,0,0,1,1,1,0,1,0,2,1,1,1,3,5,0,1,0,0,0,4,2,1,0,0,2,0,2,1,0,0,3,2,6,1,2,1,2,3,1,5,4,0,0,22,4,1,4,0,7,3,3,10,2,0,1,1,0,1,5,1,3,8,1,0,1,0,4,1,1,6,0,0,0,2,1,1,2,1,0,0,0,2,1,0,1,6,4,2,3,2,12,4,3,2,1,4,2,4,1,4,0,13,0,0,0
Red Winged Blackbird,1480,3,1,1,0,1,3,0,3,1,4,0,1,0,1,1,1,6,1,0,0,0,0,0,3,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,3,2,0,2,1,0,1,2,6,0,1,2,2,0,1,4,1,0,0,7,1,0,1,1,0,4,0,0,2,2,0,0,1,4,0,0,3,0,0,2,2,0,0,1,3,0,2,0,6,0,2,0,0,1,0,0,3,1,1,2,3,1,0,0,0,1,3,0,3
Great Crested Flycatcher,1478,2,2,0,0,1,0,2,2,0,0,0,4,1,3,1,1,1,0,1,0,2,1,0,1,0,5,0,0,8,2,3,3,0,2,4,1,1,3,0,0,3,0,13,0,3,1,2,15,0,0,7,1,3,3,6,2,1,4,7,5,1,1,2,5,3,2,0,2,0,1,1,1,3,1,2,2,2,3,1,0,2,1,0,1,1,0,0,0,1,3,0,1,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,1
Purple Martin,1475,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,4,0,0,0,2,3,2,3,0,2,1,2,1,1,3,5,3,2,3,0,0,0,12,1,4,2,13,5,1,0,0,1,5,0,3,2,1,4,6,0,1,1,0,3,9,7,5,12,0,1,0,2,6,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,1,2,0,0,2,0,0,1,1,0,3,1,6,0,1,1,1,0
White Crowned Sparrow,1459,0,1,3,1,0,2,1,4,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,2,0,0,0,2,0,0,0,9,2,0,2,5,1,0,0,0,1,0,1,4,1,0,1,4,1,1,2,3,1,2,1,0,2,2,0,2,1,7,0,3,4,3,0,0,1,1,1,0,0,2,0,3,1,5,0,2,1,1,0,0,2,1,3,1,0,0,1,0,0,16,0,0,0
Carolina Wren,1429,2,0,1,3,0,0,1,0,0,0,1,0,2,1,1,1,3,1,1,0,6,1,3,0,0,6,0,1,0,3,0,1,0,3,0,1,0,0,0,2,2,0,5,2,0,2,1,6,1,1,2,0,1,1,4,1,0,4,5,11,0,2,2,0,1,5,1,0,1,0,0,0,2,0,2,1,2,1,1,3,3,0,1,0,5,0,1,1,1,3,3,2,1,0,1,4,1,0,0,2,2,4,0,2,1,1,0,2
Common Raven,1425,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,7,1,0,1,0,2,0,3,2,4,2,1,0,4,4,1,2,0,1,0,0,0,5,0,0,4,9,3,2,0,3,4,7,0,2,0,3,2,5,1,1,5,2,0,3,1,1,0,0,0,0,3,0,0,1,1,3,0,2,0,0,0,2,1,1,0,0,2,1,4,1,3,0,0,1,2,0,0,2,2,3,0,1,0,1,0,0,0
Herring Gull,1410,1,1,0,0,3,0,1,1,1,0,1,0,1,2,0,3,2,1,1,1,0,0,2,0,5,0,2,0,0,1,1,3,2,4,4,2,4,3,0,3,5,0,0,0,0,0,9,1,3,4,3,4,3,1,3,0,1,2,3,4,3,1,1,0,2,6,1,3,1,0,3,0,2,2,2,0,10,1,2,1,1,0,0,1,1,0,1,0,3,2,3,1,0,1,2,0,2,2,0,2,1,0,1,0,1,0,0,5
Ruby Crowned Kinglet,1409,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,7,0,0,1,0,1,0,0,7,1,2,0,0,3,2,2,0,2,1,1,2,2,0,0,1,1,6,1,0,1,1,15,1,2,2,2,1,1,3,1,1,2,1,2,3,4,3,0,2,1,1,2,1,0,0,2,1,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,1,2,1,2,1,0,2,1,2,1,1,0,4,2
Laughing Gull,1396,2,0,0,0,1,1,1,1,0,0,0,0,0,3,1,0,1,0,0,1,0,1,1,1,2,1,1,0,0,1,1,1,2,2,1,0,2,0,2,0,0,1,3,1,0,0,5,9,0,0,1,2,0,8,4,5,2,3,3,5,0,7,1,2,6,1,0,0,1,0,0,0,3,0,0,2,3,2,0,1,0,1,2,0,3,0,0,0,0,3,1,0,0,0,1,0,0,3,0,1,0,2,4,0,0,0,0,0
House Finch,1382,0,0,0,1,0,0,0,19,0,2,0,0,0,1,1,1,0,0,2,0,7,0,1,1,1,0,0,1,12,0,0,1,1,1,1,2,2,1,1,1,0,1,1,0,9,0,3,3,0,0,1,7,2,0,2,1,1,1,1,3,1,1,4,0,1,0,0,0,1,1,1,1,2,0,0,2,2,0,1,1,0,1,2,0,3,0,0,4,2,0,3,1,2,1,0,0,0,6,3,1,0,2,6,2,1,0,6,5
Scarlet Tanager,1376,1,0,0,0,0,0,3,1,1,0,0,0,1,1,1,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,1,1,0,1,0,0,0,2,0,0,1,0,1,0,2,0,1,1,2,0,0,1,0,6,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,1,1,2,0,0,3,6,3,12,0,5,1,0,5
Lark Sparrow,1375,0,2,0,5,0,0,1,0,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,2,2,0,4,3,0,0,1,2,0,2,1,0,7,2,0,3,1,0,0,0,2,5,2,6,2,3,5,7,2,0,2,2,1,4,0,0,2,1,0,1,1,4,3,0,1,2,3,1,2,3,0,0,0,1,0,0,0,0,3,0,1,1,1,1,1,1,2,0,2,0,1,4,0,0,1,3,0
Brown Headed Cowbird,1374,2,0,1,0,0,1,1,1,0,1,0,0,2,0,0,0,11,2,1,0,6,0,0,2,1,0,2,0,0,1,1,0,0,8,4,1,1,0,0,0,1,0,3,0,8,3,5,3,4,3,2,5,3,0,4,9,1,2,9,5,0,6,5,1,0,2,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,0,4,4,1,0,10,0,0,2,0,5,2,7,3,2,1,8,3,3,0
Northern Harrier,1369,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,4,0,0,3,0,3,0,1,0,0,0,0,2,0,2,3,2,1,4,2,1,2,0,1,4,2,0,4,1,0,0,0,3,4,3,0,3,0,3,3,4,1,3,3,2,0,1,1,0,4,3,2,0,1,0,0,1,3,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,8,0,3,0,2,0,0,1,1,0,2,1,0,5,0,1,6
Indigo Bunting,1366,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,3,0,0,4,0,0,2,10,0,3,0,0,0,1,0,7,1,0,2,13,0,0,1,4,0,1,1,1,0,2,0,0,1,1,0,0,1,3,0,1,0,1,0,1,0,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,1,0,1,5,1,5,3,1,0,0,3,3
Black Chinned Sparrow,1365,0,0,0,0,0,0,2,1,4,0,0,0,2,2,1,1,4,1,0,0,0,1,0,2,1,0,1,0,0,0,2,0,0,5,0,1,1,0,1,0,0,0,9,2,6,3,3,8,0,1,0,5,4,0,3,4,2,3,6,3,0,3,3,0,3,1,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,2,1,0,1,3,1,4,0,0,0,1,2,2,3,1,1,1,12,0,8,1,1,2
Bald Eagle,1357,2,1,0,1,1,2,2,2,3,1,1,0,0,0,0,5,1,1,0,1,4,1,0,0,2,2,1,3,1,1,0,4,1,0,1,1,3,0,3,3,2,0,0,0,0,0,5,1,0,1,2,4,0,2,6,0,3,4,4,9,2,2,0,0,2,1,1,0,0,0,0,1,2,0,2,0,0,0,4,2,0,2,0,1,3,1,0,1,0,1,0,3,0,5,4,0,0,0,0,0,0,0,4,0,2,0,0,4
Northern Mockingbird,1309,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,2,0,0,0,0,1,4,1,0,8,1,1,1,6,0,0,0,0,2,1,0,4,0,0,0,2,2,0,1,2,0,2,3,2,5,1,0,0,3,0,0,2,2,6,0,0,0,1,0,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0
Cooper's Hawk,1296,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,3,0,0,0,2,1,1,0,1,0,0,4,0,2,3,6,5,5,2,1,1,1,1,2,0,0,3,3,0,1,2,2,1,1,0,9,2,2,4,1,2,3,4,0,0,8,2,4,2,6,0,0,3,0,2,1,8,1,0,1,3,1,3,3,2,0,0,1,0,1,0,1,0,3,0,8,0,0,0,0,2,1,0,0,2,1,6,1,5,0,1,2
American Goldfinch,1294,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,2,0,4,0,0,0,3,0,0,1,1,0,2,1,0,3,1,2,0,0,0,5,1,1,0,4,2,1,0,1,0,3,0,2,0,1,2,2,1,0,1,8,2,2,1,1,1,0,1,1,0,3,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,1,2,1,1,0,0,3,0,0,2,1,0,2
Black Tern,1291,0,0,0,1,0,0,0,1,1,0,0,0,2,4,1,2,1,3,0,1,0,1,0,1,2,0,0,1,0,1,1,1,0,3,4,1,1,0,2,1,0,0,0,3,0,1,1,5,0,1,0,2,0,0,1,4,2,3,2,0,1,1,4,1,4,3,0,1,1,1,0,0,6,0,2,1,4,2,0,0,0,0,0,0,2,2,0,1,0,5,1,0,0,0,0,0,2,1,2,2,0,0,1,0,4,1,1,0
Bobolink,1279,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,0,4,0,0,4,0,1,2,1,0,2,1,0,0,0,3,0,0,0,5,0,1,3,2,0,0,0,1,2,0,0,0,0,1,0,1,4,2,1,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,0,0,5,3,1,0,0,0,2,2,1,1,0,3,0,1,0,10,0,0,1
American Redstart,1271,0,0,0,0,0,0,2,1,0,0,0,0,2,3,4,1,0,0,0,0,0,1,0,1,2,1,2,4,0,0,4,0,1,2,2,0,2,1,0,1,0,0,4,3,0,4,1,0,1,0,0,4,0,3,5,0,2,2,3,4,1,0,3,0,3,0,1,4,0,0,0,1,2,1,4,2,0,0,1,0,1,0,0,1,1,1,2,0,2,6,2,2,0,14,0,3,1,0,0,3,4,1,1,1,1,0,0,0
Black Throated Green Warbler,1260,0,0,0,2,1,1,1,1,0,0,1,0,1,2,0,2,3,0,0,0,2,0,0,0,9,0,0,1,0,1,1,0,0,2,0,1,1,0,0,0,0,0,5,0,0,4,2,2,2,2,1,0,3,2,1,6,2,3,4,2,0,1,4,0,0,2,2,5,1,0,1,1,2,0,2,0,2,1,1,1,0,0,0,1,0,1,0,1,0,4,3,4,0,0,2,1,0,0,2,2,0,0,6,0,7,0,0,3
American Golden Plover,1257,0,0,0,0,0,1,1,7,0,0,0,0,1,3,0,4,1,0,1,0,0,0,0,2,1,5,1,3,1,1,1,3,1,5,5,1,2,0,2,0,1,0,2,0,0,1,16,6,0,1,3,0,1,1,1,1,0,1,4,1,0,2,2,0,5,1,1,1,1,0,0,0,3,0,0,1,9,2,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,2,2,2,3,1,0,3,1,3,1
Blue Gray Gnatcatcher,1251,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,1,0,1,0,4,1,1,0,1,0,3,0,8,0,0,1,15,5,0,6,0,2,2,1,6,1,0,0,2,1,1,4,5,1,4,1,0,0,1,0,3,2,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,0,1,2,0,5,1,2,0,2,0,3,3,0
Eastern Kingbird,1241,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,2,1,0,1,0,6,0,0,0,0,0,1,4,0,0,0,0,0,2,3,1,2,1,0,0,0,1,12,3,0,4,7,6,2,0,0,0,3,0,3,3,0,0,3,2,0,3,1,1,1,1,1,0,1,0,0,0,2,0,4,0,0,1,3,1,2,1,0,0,0,1,1,1,0,2,2,0,0,1,2,1,3,17,1,0,2,0,16,0,2,0,0,1
Wood Thrush,1232,0,0,0,1,0,1,0,3,0,2,0,0,1,1,1,1,2,0,1,1,0,2,0,0,0,4,0,1,0,0,0,0,2,1,5,0,1,0,3,0,1,0,6,1,3,1,4,2,1,0,1,1,4,2,4,3,1,2,3,1,1,1,4,1,2,1,0,2,0,0,0,2,7,0,1,0,1,0,2,1,2,0,1,2,5,0,1,0,1,4,0,2,1,0,3,2,0,2,0,2,2,1,5,1,0,1,1,0
Least Tern,1228,2,0,0,2,0,1,2,0,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,2,1,0,1,1,1,2,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,2,1,2,0,1,3,3,0,1,0,2,1,2,2,2,1,1,0,0,2,2,0,1,1,2,0,0,2,1,1,1,1,0,1,1,1,1,1,2,0,0,0,3,0,2,0,0,0,2,0,2,2,2,0,1,2
Vermilion Flycatcher,1204,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,4,0,2,0,0,1,0,1,0,1,0,5,3,4,5,2,9,0,3,1,0,1,1,8,2,0,3,3,7,1,10,0,1,5,4,0,4,0,0,0,0,0,5,4,1,0,4,1,0,1,0,0,0,2,0,1,0,3,2,4,1,2,1,1,3,0,2,0,2,0,5,2,1,2,1,1,4
Black Crowned Night Heron,1204,0,2,0,2,1,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,1,4,0,0,4,3,0,1,2,3,1,0,4,0,1,0,1,1,3,0,3,7,3,0,2,15,3,1,5,3,3,4,4,2,2,4,2,3,6,1,1,0,1,0,0,4,2,1,3,2,1,0,0,1,0,2,1,1,1,0,0,0,1,6,3,0,0,1,2,1,1,3,3,0,1,2,0,0,8,0,0,7
Yellow Bellied Sapsucker,1188,1,0,1,1,0,0,3,0,0,0,1,0,1,2,1,2,4,0,0,0,1,0,1,0,2,1,1,3,2,0,1,0,0,3,6,0,2,0,0,0,0,0,0,4,1,1,3,4,1,2,1,4,5,2,8,2,5,0,5,1,0,3,3,0,2,0,1,0,0,0,0,0,6,0,0,1,3,1,1,0,0,0,0,1,0,0,0,0,4,4,3,0,2,1,1,1,1,1,1,3,0,0,4,1,2,0,0,1
Pine Siskin,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,0,3,0,1,2,0,0,0,8,0,0,1,1,1,3,2,0,0,0,0,0,0,0,18,0,2,0,6,1,0,0,2,1,7,1,1,0,1,2,2,1,0,1,1,0,1,3,0,1,0,3,0,3,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,5,3,0,0,2,0,2,0,0,6,0,0,0
Barn Swallow,1166,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,2,0,0,0,1,0,6,0,4,2,2,9,2,2,4,0,6,1,3,0,4,5,6,0,1,0,0,11,4,1,2,1,1,0,1,1,6,0,0,3,2,1,3,1,0,0,2,2,3,0,1,1,0,0,0,2,0,2,0,6,3,1,1,2,1,0,1,0,3,1,0,3
Horned Lark,1162,0,1,0,1,0,0,1,0,0,4,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,2,0,2,3,0,0,3,1,0,1,0,7,0,1,0,11,1,5,3,0,0,0,4,0,3,3,0,5,0,2,6,10,6,3,3,1,1,1,2,0,1,1,2,0,1,0,5,0,2,1,0,0,0,0,0,0,1,1,0,2,4,1,6,0,3,0,8,1,1,0,1,0,3,2,0,1,0,2,0,1,4
Dark Eyed Junco,1154,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,1,1,0,2,1,0,0,2,0,0,3,0,1,0,0,0,0,3,0,7,1,0,3,7,2,2,0,1,2,0,1,4,1,1,1,6,1,2,2,3,1,7,2,0,2,1,1,0,0,5,1,1,2,2,1,1,0,0,0,0,0,1,1,1,0,0,5,5,1,0,0,3,2,0,1,3,3,3,1,0,0,2,0,0,2
Ring Billed Gull,1146,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,3,0,0,0,4,0,4,1,0,0,0,0,1,1,6,1,0,2,0,0,6,0,4,0,1,0,0,0,0,6,0,2,0,0,9,6,0,1,7,3,0,6,4,6,6,1,2,3,2,0,0,0,0,4,0,0,0,2,4,0,5,1,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,0,0,4,1,1,0,0,1,0,2,4
Common Loon,1130,0,4,0,0,1,0,0,2,1,0,0,0,1,0,2,1,1,0,0,0,2,0,1,0,1,1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,1,0,1,2,2,5,0,1,3,0,1,1,0,1,0,0,0,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,6
Cliff Swallow,1122,0,2,0,1,0,0,2,2,0,0,0,0,2,1,1,2,2,0,0,0,1,0,2,1,1,3,5,2,0,0,0,1,0,0,1,0,0,1,0,1,5,0,6,1,0,1,7,1,1,1,0,2,0,3,0,1,0,6,4,0,1,2,4,0,1,1,1,0,0,1,0,1,2,0,2,0,3,0,0,0,4,0,0,1,2,0,0,1,0,1,1,0,0,0,1,3,1,2,1,1,5,0,4,3,1,0,3,3
Black Billed Cuckoo,1114,0,0,0,0,1,0,3,2,0,0,2,0,0,2,1,3,2,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,2,1,1,0,0,4,2,0,0,5,1,2,3,0,0,1,3,3,3,3,1,1,4,1,1,0,0,0,1,4,1,0,5,0,2,1,1,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,5,0,0,2,1,6,1,1,1,0,0,0,0
Red Eyed Vireo,1099,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,5,4,1,0,0,0,0,0,0,7,0,0,0,5,1,5,1,0,1,1,0,3,0,3,3,2,2,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1,3,0,0,0,0,1,1,2,1,0,1,0,0,0,2,3,0,0,1,1,1,1,1,3,2,0,1,0,3,1,1,5
Western Meadowlark,1096,2,0,0,0,1,0,0,1,0,0,0,0,2,1,0,3,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,4,1,1,0,3,1,0,0,0,2,1,0,1,0,5,1,2,1,0,3,0,1,2,1,1,0,1,3,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,4,5,2,0,0,1,0,1,0,9,1,2,1
